FirstAuthor,Year,Journal,doi,ColourMap
Natraj,2012,Neuropsychologia,10.1016/j.neuropsychologia.2012.12.003,jet
Tang,2012,Clinical EEG and neuroscience,10.1177/1550059412451215,jet
Sänger,2012,Frontiers in human neuroscience,10.3389/fnhum.2012.00312,jet
Mancini,2012,The European journal of neuroscience,10.1111/ejn.12080,jet
Kawasaki,2012,Frontiers in human neuroscience,10.3389/fnhum.2012.00318,jet-like
Park,2012,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,10.1109/TNSRE.2012.2229296,jet
Ethridge,2012,Biological psychology,10.1016/j.biopsycho.2012.11.016,YlRdPrBu
Shaw,2012,Biological psychiatry,10.1016/j.biopsych.2012.09.032,jet
Mu,2012,NeuroImage,10.1016/j.neuroimage.2012.11.016,NA
Cong,2012,International journal of neural systems,10.1142/S0129065712500256,greyscale
Wacker,2012,Biomedizinische Technik. Biomedical engineering,10.1515/bmt-2012-0034,jet
van Driel,2012,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.0802-12.2012,jet
Gilmore,2012,Brain and behavior,10.1002/brb3.95,jet
Steele,2012,Brain research,10.1016/j.brainres.2012.11.016,jet
Lüttjohann,2012,Experimental neurology,10.1016/j.expneurol.2012.10.021,NA
Muthukumaraswamy,2012,NeuroImage,10.1016/j.neuroimage.2012.10.054,jet
Itthipuripat,2012,Experimental brain research,10.1007/s00221-012-3305-3,jet
Gordon,2012,Journal of neuroscience methods,10.1016/j.jneumeth.2012.10.002,NA
Bolaños,2012,Journal of neuroscience methods,10.1016/j.jneumeth.2012.10.004,jet
Roberts,2012,Neuropsychologia,10.1016/j.neuropsychologia.2012.10.009,NA
Sueda,2012,Epilepsy research,10.1016/j.eplepsyres.2012.09.001,jet
Toda,2012,Brain & development,10.1016/j.braindev.2012.09.002,jet
Xing,2012,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.5644-11.2012,NA
Hadjidimitriou,2012,IEEE transactions on bio-medical engineering,10.1109/TBME.2012.2217495,jet
Meng,2012,PloS one,10.1371/journal.pone.0044464,jet
Wang,2012,Neuroscience letters,10.1016/j.neulet.2012.09.001,NA
Chiang,2012,NeuroImage,10.1016/j.neuroimage.2012.08.023,jet
Obleser,2012,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.4908-11.2012,NOACCESS
Kamada,2012,Brain and nerve = Shinkei kenkyu no shinpo, ,jet-like
Kobayashi,2012,Epilepsy research,10.1016/j.eplepsyres.2012.07.020,jet
Lodder,2012,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2012.07.007,NA
Bhushan,2012,PloS one,10.1371/journal.pone.0043351,jet
Deiber,2012,Frontiers in integrative neuroscience,10.3389/fnint.2012.00059,jet
Fujiwara,2012,Epilepsia,10.1111/j.1528-1167.2012.03629.x,jet
Cristofori,2012,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhs236,jet
Fujimoto,2012,The open neuroimaging journal,10.2174/1874440001206010026,jet
Clemans,2012,Neuroscience letters,10.1016/j.neulet.2012.07.051,greyscale
Morillon,2012,Frontiers in psychology,10.3389/fpsyg.2012.00248,NA
Cheung,2012,Journal of neural engineering,10.1088/1741-2560/9/4/046018,NA
Fernandez-Blanco,2012,Journal of neuroscience methods,10.1016/j.jneumeth.2012.07.004,jet
Saunders,2012,Behavioural brain research,10.1016/j.bbr.2012.06.032,RdYlBu
Cervenka,2012,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2012.06.003,jet
Müller,2012,PloS one,10.1371/journal.pone.0038931,NA
Boudet,2012,Computer methods and programs in biomedicine,10.1016/j.cmpb.2012.04.005,NA
Sankari,2012,Clinical EEG and neuroscience,10.1177/1550059412444970,YlRdBlBu
Devergnas,2012,Brain : a journal of neurology,10.1093/brain/aws134,REMOVE
Hatem,2012,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2012.05.007,jet
Wang,2012,Frontiers in psychology,10.3389/fpsyg.2012.00187,jet
Gwin,2012,Journal of neuroengineering and rehabilitation,10.1186/1743-0003-9-35,jet
Lachat,2012,Frontiers in human neuroscience,10.3389/fnhum.2012.00156,NA
Lelic,2012,Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,10.1097/WNP.0b013e3182570fd3,jet
Shou,2012,Journal of neuroscience methods,10.1016/j.jneumeth.2012.05.022,jet
Cahn,2012,Social cognitive and affective neuroscience,10.1093/scan/nss060,RdYlBu
Iwatani,2012,Epilepsy research,10.1016/j.eplepsyres.2012.04.020,NA
Fernández,2012,Brain and cognition,10.1016/j.bandc.2012.04.008,jet
Ethridge,2012,Biological psychiatry,10.1016/j.biopsych.2012.03.034,jet
Watanabe,2012,Journal of neural engineering,10.1088/1741-2560/9/3/036006,NA
Lin,2012,"Proceedings of the Institution of Mechanical Engineers. Part H, Journal of engineering in medicine",10.1177/0954411911434246,jet
Woldeit,2012,Neuroscience,10.1016/j.neuroscience.2012.04.058,jet
Barry,2012,Psychophysiology,10.1111/j.1469-8986.2012.01367.x,jet
Ko,2012,"Journal of clinical neurology (Seoul, Korea)",10.3988/jcn.2012.8.1.35,jet
Cohen,2012,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhs069,jet
Meyer,2012,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2012.03.006,jet
Mellem,2012,Frontiers in psychology,10.3389/fpsyg.2012.00097,jet-like
Griskova-Bulanova,2012,Acta neurobiologiae experimentalis, ,NA
Pivik,2012,Physiology & behavior,10.1016/j.physbeh.2012.03.034,jet
van Steenbergen,2012,Biological psychology,10.1016/j.biopsycho.2012.03.018,jet
Wang,2012,Human brain mapping,10.1002/hbm.21410,jet-like
Heissler,2012,Acta neurochirurgica. Supplement,10.1007/978-3-7091-0956-4_15,jet
Muthuraman,2012,PloS one,10.1371/journal.pone.0033928,jet
Zhou,2012,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2012.02.071,jet-like
Valentini,2012,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2012.02.005,jet
Steinmann,2012,Journal of neurophysiology,10.1152/jn.01105.2011,jet-like
Huart,2012,PloS one,10.1371/journal.pone.0033221,jet
Piai,2012,Brain research,10.1016/j.brainres.2012.02.050,NA
Gao,2012,Clinical EEG and neuroscience,10.1177/1550059411428715,NA
Saa,2012,Journal of neural engineering,10.1088/1741-2560/9/2/026020,jet
Lina,2012,IEEE transactions on bio-medical engineering,10.1109/TBME.2012.2189883,jet
Liu,2012,Neuropsychologia,10.1016/j.neuropsychologia.2012.03.004,jet
Wang,2012,Computational and mathematical methods in medicine,10.1155/2012/279560,jet
Arnfred,2012,Danish medical journal, ,jet
Zijlmans,2012,Annals of neurology,10.1002/ana.22548,NA
Retz,2012,European archives of psychiatry and clinical neuroscience,10.1007/s00406-012-0299-6,jet
Kawasaki,2012,Social cognitive and affective neuroscience,10.1093/scan/nss027,jet
Lin,2012,NeuroImage,10.1016/j.neuroimage.2012.02.008,jet
HajiHosseini,2012,NeuroImage,10.1016/j.neuroimage.2012.01.125,NA
Manganotti,2012,Journal of neurophysiology,10.1152/jn.00543.2011,jet
Hsu,2012,International journal of neural systems,10.1142/S0129065712002979,NA
Melia,2012,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2011.6091902,jet
Cho,2012,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2011.6091705,NA
Mohamed,2012,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2011.6091552,NA
Tang,2012,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2011.6090492,jet
Omidvarnia,2012,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2011.6090335,greyscale
Biller,2012,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2011.6090269,jet
Saunders,2012,Neurobiology of disease,10.1016/j.nbd.2011.12.049,jet-like
Barlaam,2012,Frontiers in human neuroscience,10.3389/fnhum.2011.00163,BlRdYlBuPr
Zygierewicz,2012,Journal of neuroscience methods,10.1016/j.jneumeth.2011.12.013,jet
Peter-Derex,2012,Sleep,10.5665/sleep.1588,jet
Edgar,2013,NeuroImage. Clinical,10.1016/j.nicl.2013.11.004,jet
Nash-Kille,2013,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2013.11.017,jet
Kaser,2013,PloS one,10.1371/journal.pone.0083255,jet
Nasseroleslami,2013,NeuroImage,10.1016/j.neuroimage.2013.12.011,jet-like
Kayser,2013,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2013.12.003,jet
Yamanaka,2013,PloS one,10.1371/journal.pone.0082272,jet
Wascher,2013,Biological psychology,10.1016/j.biopsycho.2013.11.010,NA
Higashi,2013,Computational intelligence and neuroscience,10.1155/2013/537218,jet
Manganotti,2013,Frontiers in human neuroscience,10.3389/fnhum.2013.00767,NA
Čić,2013,Computers in biology and medicine,10.1016/j.compbiomed.2013.10.002,jet
Wang,2013,Journal of neuroengineering and rehabilitation,10.1186/1743-0003-10-109,NA
Reches,2013,NeuroImage,10.1016/j.neuroimage.2013.11.020,NA
Gaspard,2013,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2013.10.021,jet
Meir-Hasson,2013,NeuroImage,10.1016/j.neuroimage.2013.11.004,jet
Flevaris,2013,Journal of vision,10.1167/13.13.17,NA
Alam,2013,IEEE journal of biomedical and health informatics,10.1109/JBHI.2012.2237409,jet-like
Sitnikova,2013,Brain research,10.1016/j.brainres.2013.11.001,jet
Gluth,2013,PLoS computational biology,10.1371/journal.pcbi.1003309,jet
Hammer,2013,Frontiers in neuroscience,10.3389/fnins.2013.00200,jet
Herrmann,2013,Brain topography,10.1007/s10548-013-0327-5,jet
Cohen,2013,NeuroImage,10.1016/j.neuroimage.2013.10.033,jet
Gramfort,2013,NeuroImage,10.1016/j.neuroimage.2013.10.027,jet
Omidvarnia,2013,IEEE transactions on bio-medical engineering,10.1109/TBME.2013.2286394,jet
Del Zotto,2013,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2013.10.007,jet
Mellem,2013,Brain and language,10.1016/j.bandl.2013.09.003,jet
Tsai,2013,NeuroImage,10.1016/j.neuroimage.2013.09.045,jet
Tamura,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2013.6611271,jet
Iwaki,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2013.6610965,NA
Zhao,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2013.6610916,NA
Shou,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2013.6610818,NA
Santillán-Guzmán,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2013.6610625,NA
Shokrollahi,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2013.6610501,jet
Chiaramello,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2013.6610476,jet
Tu,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2013.6610142,NA
Melia,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2013.6610059,NA
Duque-Muñoz,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2013.6609948,jet
Chládek,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2013.6609678,jet
Prerau,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2013.6609525,jet
Mehrkanoon,2013,Brain topography,10.1007/s10548-013-0319-5,NA
Yazdan-Shahmorad,2013,Journal of neural engineering,10.1088/1741-2560/10/6/066002,jet
Hu,2013,NeuroImage,10.1016/j.neuroimage.2013.09.055,NA
Ortiz-Rosario,2013,Reviews in the neurosciences,10.1515/revneuro-2013-0032,jet-like
Höller,2013,PloS one,10.1371/journal.pone.0074572,NA
Maguire,2013,Developmental cognitive neuroscience,10.1016/j.dcn.2013.08.002,jet
Musacchia,2013,Neuropsychologia,10.1016/j.neuropsychologia.2013.09.006,jet
Perez,2013,Supplements to Clinical neurophysiology,10.1016/b978-0-7020-5307-8.00010-7,jet
Bajaj,2013,Computer methods and programs in biomedicine,10.1016/j.cmpb.2013.07.006,jet
O'Reilly,2013,Journal of neuroscience methods,10.1016/j.jneumeth.2013.08.013,jet
O'Reilly,2013,Journal of neuroscience methods,10.1016/j.jneumeth.2013.08.014,jet
Bowers,2013,PloS one,10.1371/journal.pone.0072024,YlBlack
Sato,2013,Communicative & integrative biology,10.4161/cib.24562,NA
Khlif,2013,Medical engineering & physics,10.1016/j.medengphy.2013.07.005,jet
Smucny,2013,Psychiatry research,10.1016/j.pscychresns.2013.07.002,jet
Cohen,2013,NeuroImage,10.1016/j.neuroimage.2013.08.010,NA
Donkers,2013,Schizophrenia research,10.1016/j.schres.2013.07.050,jet-like
Huart,2013,Rhinology,10.4193/Rhino13.007,jet
Craddock,2013,PloS one,10.1371/journal.pone.0070293,jet
Matsumoto,2013,Journal of neurophysiology,10.1152/jn.00341.2013,jet
Sipp,2013,Journal of neurophysiology,10.1152/jn.00744.2012,jet
Muthuraman,2013,Movement disorders : official journal of the Movement Disorder Society,10.1002/mds.25616,NA
Martis,2013,International journal of neural systems,10.1142/S0129065713500238,jet
Eisenbarth,2013,Biological psychology,10.1016/j.biopsycho.2013.07.007,NA
Ebrahimi,2013,Computer methods and programs in biomedicine,10.1016/j.cmpb.2013.06.007,jet
Harper,2013,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2013.06.025,jet
Ketz,2013,NeuroImage,10.1016/j.neuroimage.2013.06.077,YlGrPrRd
Spotorno,2013,PloS one,10.1371/journal.pone.0066839,jet
Castelhano,2013,PloS one,10.1371/journal.pone.0066363,jet
Deiber,2013,NeuroImage,10.1016/j.neuroimage.2013.06.037,NA
Hashimoto,2013,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2013.05.006,jet-like
Jankovski,2013,Pain,10.1016/j.pain.2013.04.032,jet
Sivarao,2013,Neuropharmacology,10.1016/j.neuropharm.2013.05.006,jet
Zaehle,2013,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.5276-12.2013,jet
Gajewski,2013,Neurobiology of aging,10.1016/j.neurobiolaging.2013.04.017,jet
Müller,2013,NeuroImage,10.1016/j.neuroimage.2013.05.001,jet
Stock,2013,PloS one,10.1371/journal.pone.0062335,NA
Bayly,2013,Epilepsia,10.1111/epi.12207,jet
Yoon,2013,Psychophysiology,10.1111/psyp.12045,jet
Tang,2013,Biological psychology,10.1016/j.biopsycho.2013.03.004,NOACCESS
Sitnikova,2013,Zhurnal vysshei nervnoi deiatelnosti imeni I P Pavlova, ,jet
Park,2013,PloS one,10.1371/journal.pone.0059544,NA
Stevenson,2013,Annals of biomedical engineering,10.1007/s10439-012-0710-5,jet
Missonnier,2013,Neuroscience,10.1016/j.neuroscience.2013.03.011,NA
Teale,2013,Psychiatry research,10.1016/j.pscychresns.2012.11.007,NA
Mash,2013,Neuroreport,10.1097/WNR.0b013e32835f6828,jet
Crespo-Garcia,2013,Journal of cognitive neuroscience,10.1162/jocn_a_00379,jet
Chen,2013,Neuroscience letters,10.1016/j.neulet.2013.02.036,jet
Cohen,2013,PloS one,10.1371/journal.pone.0057293,jet
Hoffmann,2013,Brain structure & function,10.1007/s00429-013-0521-y,NA
Yin,2013,Journal of neural engineering,10.1088/1741-2560/10/2/026012,YlRdBu
Fabrizi,2013,Journal of neurophysiology,10.1152/jn.00990.2012,YlRdBu
Malk,2013,Brain & development,10.1016/j.braindev.2013.01.009,jet
Dalal,2013,Neuroscience and biobehavioral reviews,10.1016/j.neubiorev.2013.02.006,jet
Kobayashi,2013,Brain & development,10.1016/j.braindev.2012.12.012,jet
Piantoni,2013,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2013.01.017,jet
Heideklang,2013,International journal of biomedical imaging,10.1155/2013/759421,jet
Privman,2013,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2013.01.004,jet
Vialatte,2013,American journal of neurodegenerative disease, ,jet
Liu,2013,Neuroscience,10.1016/j.neuroscience.2013.01.045,jet
Yang,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2012.6346532,jet
Gómez,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2012.6346477,NA
Yohanes,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2012.6346410,NA
Shan,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2012.6346274,jet
Nagaraj,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2012.6346120,NA
Direito,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2012.6346008,bone
Martinez-Vargas,2013,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC.2012.6345856,jet
Heim,2013,Neuropsychologia,10.1016/j.neuropsychologia.2013.01.011,hot
Koupparis,2013,PloS one,10.1371/journal.pone.0054343,jet
Catarino,2013,Molecular autism,10.1186/2040-2392-4-1,jet
Gramfort,2013,NeuroImage,10.1016/j.neuroimage.2012.12.051,NA
Kaan,2013,Brain sciences,10.3390/brainsci3020757,jet
Bidelman,2014,Brain and language,10.1016/j.bandl.2014.11.003,jet
Lavallee,2014,Frontiers in human neuroscience,10.3389/fnhum.2014.00994,jet
Wang,2014,Experimental brain research,10.1007/s00221-014-4182-8,jet
Wisniewski,2014,Neuroreport,10.1097/WNR.0000000000000306,jet
Tamura,2014,Brain & development,10.1016/j.braindev.2014.11.009,jet
Kanayama,2014,Brain research,10.1016/j.brainres.2014.12.017,jet
Zhao,2014,Biological psychology,10.1016/j.biopsycho.2014.12.001,jet
Sotelo,2014,Journal of neuroscience methods,10.1016/j.jneumeth.2014.12.001,NA
Zhu,2014,Journal of medical systems,10.1007/s10916-014-0170-6,jet
Ba,2014,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1320637111,jet
Kielar,2014,NeuroImage,10.1016/j.neuroimage.2014.11.016,jet
Cohen,2014,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2014.09.013,YlRdBlackBu
Xiang,2014,Journal of neuroscience methods,10.1016/j.jneumeth.2014.10.007,NA
Foti,2014,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2014.08.025,jet
Tada,2014,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhu278,jet
Osuagwu,2014,Neuropsychologia,10.1016/j.neuropsychologia.2014.10.029,jet
Kornmayer,2014,Brain topography,10.1007/s10548-014-0418-y,jet
Li,2014,Psychophysiology,10.1111/psyp.12382,jet
Zerouali,2014,Frontiers in neuroscience,10.3389/fnins.2014.00310,jet
Kobayashi,2014,Annals of neurology,10.1002/ana.24299,RdBu
Smith,2014,Frontiers in human neuroscience,10.3389/fnhum.2014.00817,jet
Barry,2014,Psychophysiology,10.1111/psyp.12376,jet
Riečanský,2014,Social cognitive and affective neuroscience,10.1093/scan/nsu139,NA
Pinet,2014,Psychophysiology,10.1111/psyp.12373,jet
Metzner,2014,Journal of cognitive neuroscience,10.1162/jocn_a_00731,jet
Samiee,2014,IEEE transactions on bio-medical engineering,10.1109/TBME.2014.2360101,NA
Jestrović,2014,Brain research,10.1016/j.brainres.2014.09.035,NA
Adam,2014,TheScientificWorldJournal,10.1155/2014/973063,jet
Meletti,2014,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2014.07.030,NA
Fumuro,2014,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2014.07.026,jet
Wang,2014,Brain and language,10.1016/j.bandl.2014.07.011,NA
Cong,2014,International journal of neural systems,10.1142/S012906571440005X,jet
Monsalve,2014,Frontiers in psychology,10.3389/fpsyg.2014.00847,NA
Bhat,2014,Reviews in the neurosciences,10.1515/revneuro-2014-0036,jet
Hu,2014,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.1355-14.2014,jet
Ergen,2014,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2014.08.177,NA
Wilson,2014,NeuroImage,10.1016/j.neuroimage.2014.08.013,jet
Riquelme,2014,Journal of electromyography and kinesiology : official journal of the International Society of Electrophysiological Kinesiology,10.1016/j.jelekin.2014.07.004,jet
Eliades,2014,Journal of neurophysiology,10.1152/jn.00207.2014,NA
Principe,2014,Current opinion in neurobiology,10.1016/j.conb.2014.07.023,jet-like
Huang,2014,Behavioural brain research,10.1016/j.bbr.2014.07.054,jet
Hajipour Sardouie,2014,IEEE journal of biomedical and health informatics,10.1109/JBHI.2014.2336797,NA
Hsu,2014,Brain research,10.1016/j.brainres.2014.07.023,RdYlBu
Forbes,2014,Biological psychology,10.1016/j.biopsycho.2014.07.007,jet
Xu,2014,TheScientificWorldJournal,10.1155/2014/420561,jet
Tenney,2014,Annals of neurology,10.1002/ana.24231,RdYlBu
Sallard,2014,Behavioural brain research,10.1016/j.bbr.2014.05.070,jet
El Karoui,2014,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhu143,NA
Al-Fahoum,2014,ISRN neuroscience,10.1155/2014/730218,greyscale
Minzenberg,2014,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,10.1038/npp.2014.155,NA
Ge,2014,PloS one,10.1371/journal.pone.0098019,NA
Ethridge,2014,Biological psychiatry,10.1016/j.biopsych.2014.03.032,jet
Omigie,2014,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhu118,NA
Job,2014,Epilepsia,10.1111/epi.12659,YlRdBuPr
Perry,2014,Epilepsy research,10.1016/j.eplepsyres.2014.04.012,RdBu
Kielar,2014,Journal of cognitive neuroscience,10.1162/jocn_a_00670,jet
Schriever,2014,The Journal of pediatrics,10.1016/j.jpeds.2014.04.033,greyscale
Cuspineda-Bravo,2014,Clinical EEG and neuroscience,10.1177/1550059414522231,jet
Gulbinaite,2014,NeuroImage,10.1016/j.neuroimage.2014.05.060,RdYlBu
Ueda,2014,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2014.04.015,jet
Dubarry,2014,NeuroImage,10.1016/j.neuroimage.2014.05.055,jet
Chien,2014,Journal of neurophysiology,10.1152/jn.00209.2014,jet
Schiecke,2014,IEEE transactions on bio-medical engineering,10.1109/TBME.2014.2307481,NA
Formaggio,2014,Brain topography,10.1007/s10548-014-0372-8,jet-like
Ehlers,2014,Developmental neuroscience,10.1159/000358484,greyscale
Melia,2014,Methods of information in medicine,10.3414/ME13-02-0044,jet
Stenner,2014,Journal of cognitive neuroscience,10.1162/jocn_a_00658,jet
Toda,2014,Brain & development,10.1016/j.braindev.2014.04.004,NA
Siwek,2014,Sleep,10.5665/sleep.3652,Blues
Rutkowski,2014,Journal of neuroscience methods,10.1016/j.jneumeth.2014.04.010,jet
Lavallee,2014,PloS one,10.1371/journal.pone.0096159,jet
Yokota,2014,Neuroscience,10.1016/j.neuroscience.2014.04.015,jet
Banis,2014,PloS one,10.1371/journal.pone.0095690,jet
Strauß,2014,NeuroImage,10.1016/j.neuroimage.2014.04.005,jet
Sato,2014,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2014.02.024,hot
Baird,2014,Journal of cognitive neuroscience,10.1162/jocn_a_00656,RdYlBu
Leitner,2014,Journal of cognitive neuroscience,10.1162/jocn_a_00645,jet
Kawasaki,2014,Frontiers in human neuroscience,10.3389/fnhum.2014.00173,NA
Lu,2014,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,10.1109/TNSRE.2014.2315717,jet
Burnos,2014,PloS one,10.1371/journal.pone.0094381,jet
Griskova-Bulanova,2014,Acta neurobiologiae experimentalis, ,jet
Mišić,2014,Journal of cognitive neuroscience,10.1162/jocn_a_00640,YlRdBu
Bonfiglio,2014,PloS one,10.1371/journal.pone.0093252,jet
Prada,2014,Psychophysiology,10.1111/psyp.12210,NA
Kawasaki,2014,Frontiers in psychology,10.3389/fpsyg.2014.00200,jet
Cebolla,2014,NeuroImage,10.1016/j.neuroimage.2014.03.039,NA
Becker,2014,NeuroImage,10.1016/j.neuroimage.2014.03.043,NA
Hamm,2014,Psychophysiology,10.1111/psyp.12185,NOACCESS
Zhou,2014,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi, ,YlOrRd
Garcia Dominguez,2014,PloS one,10.1371/journal.pone.0092354,greyscale
Campbell,2014,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,10.1038/npp.2014.58,RdBu
Ehinger,2014,Frontiers in human neuroscience,10.3389/fnhum.2014.00071,jet
Minzenberg,2014,Psychophysiology,10.1111/psyp.12201,NA
Xu,2014,Journal of neural engineering,10.1088/1741-2560/11/2/026014,NA
Hsu,2014,Clinical EEG and neuroscience,10.1177/1550059413514974,jet-like
Sanchez-Alavez,2014,Brain research,10.1016/j.brainres.2014.02.043,jet-like
Spencer,2014,Frontiers in psychology,10.3389/fpsyg.2014.00068,NA
Jacobs-Brichford,2014,Journal of child neurology,10.1177/0883073813518107,hot
Koupparis,2014,Journal of neuroscience methods, ,jet
Griskova-Bulanova,2014,Acta neurobiologiae experimentalis, ,jet
Bertrand,2014,Journal of cognitive neuroscience,10.1162/jocn_a_00582,jet
Lenartowicz,2014,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.1765-13.2014,jet
Chuang,2014,NeuroImage,10.1016/j.neuroimage.2014.01.015,NA
